"refext","route","pr","abs","dep","siredo","libelle","source","reg","nomreg","metropole","longitude","latitude","tipi","focus"
NULL,"A620",16,522,"31","MB831.R2","enac","toulouse","76","Occitanie","Toulouse Métropole","1.479727","43.5685869999999","TraficErato",1
NULL,"A620",11,53,"31","MB831.M2","bordelongue","toulouse","76","Occitanie","Toulouse Métropole","1.419886","43.5685739999999","TraficErato",1
NULL,"A620",6,279,"31","MB831.L2","purpan A620","toulouse","76","Occitanie","Toulouse Métropole","1.401086","43.6040199999999","TraficErato",1
NULL,"A621",2,800,"31","MB831.F2","ritouret est","toulouse","76","Occitanie","Toulouse Métropole","1.387772","43.6242299999999","TraficErato",1
NULL,"A620",16,522,"31","MB831.R1","enac","toulouse","76","Occitanie","Toulouse Métropole","1.479727","43.5685869999999","TraficErato",1
NULL,"A620",6,279,"31","MB831.L1","purpan A620","toulouse","76","Occitanie","Toulouse Métropole","1.401086","43.6040199999999","TraficErato",1
NULL,"A620",11,53,"31","MB831.M1","bordelongue","toulouse","76","Occitanie","Toulouse Métropole","1.419886","43.5685739999999","TraficErato",1
NULL,"A621",2,800,"31","MB831.F1","ritouret est","toulouse","76","Occitanie","Toulouse Métropole","1.387772","43.6242299999999","TraficErato",1
NULL,"A0084",98,705,"35","MWI35.31","A0084","rennes","53","Bretagne","Rennes Métropole","-1.58869192257694","48.1644058481044","TraficBreizhRennes",1
NULL,"N0137",41,60,"35","MWJ35.A1","N0137","rennes","53","Bretagne","Rennes Métropole","-1.67941042805432","48.0609001365018","TraficBreizhRennes",1
NULL,"N0137",41,60,"35","MWJ35.A2","N0137","rennes","53","Bretagne","Rennes Métropole","-1.67941042805432","48.0609001365018","TraficBreizhRennes",1
NULL,"N0012",68,595,"35","MWJ35.G1","N0012","rennes","53","Bretagne","Rennes Métropole","-1.77904081906022","48.1431237914918","TraficBreizhRennes",1
NULL,"N0012",68,595,"35","MWJ35.G2","N0012","rennes","53","Bretagne","Rennes Métropole","-1.77904081906022","48.1431237914918","TraficBreizhRennes",1
NULL,"N0024",9,623,"35","MWJ35.I1","N0024","rennes","53","Bretagne","Rennes Métropole","-1.80516045984608","48.0733604566426","TraficBreizhRennes",1
NULL,"N0024",9,623,"35","MWJ35.I2","N0024","rennes","53","Bretagne","Rennes Métropole","-1.80516045984608","48.0733604566426","TraficBreizhRennes",1
NULL,"N844",1,500,"44","MWl44.B1","N844","nantes","52","Pays de la Loire","Nantes Métropole","-1.55236102853519","47.2577678087425","TraficBreizhNantes",1
NULL,"N844",1,500,"44","MWl44.B2","N844","nantes","52","Pays de la Loire","Nantes Métropole","-1.55236102853519","47.2577678087425","TraficBreizhNantes",1
NULL,"N844",9,750,"44","MWL44.a1","N844","nantes","52","Pays de la Loire","Nantes Métropole","-1.47726770759033","47.2178502437782","TraficBreizhNantes",1
NULL,"N844",9,750,"44","MWL44.a2","N844","nantes","52","Pays de la Loire","Nantes Métropole","-1.47726770759033","47.2178502437782","TraficBreizhNantes",1
NULL,"N844",23,400,"44","MWL44.b1","N844","nantes","52","Pays de la Loire","Nantes Métropole","-1.59959178063396","47.176971407216","TraficBreizhNantes",1
NULL,"N844",23,400,"44","MWL44.b2","N844","nantes","52","Pays de la Loire","Nantes Métropole","-1.59959178063396","47.176971407216","TraficBreizhNantes",1
